"series_a","series_b","r","sgc","ssgc","overlap","p"
"ak001","ak025","0.545495259835448","0.691570881226054","0.00574712643678161","522","0"
"ak001","ak030","0.529931533376532","0.678181818181818","0.00181818181818182","550","0"
"ak006","ak103","0.600181886089061","0.807962529274005","0.00234192037470726","427","0"
"ak010","ak078","0.543811821388549","0.714285714285714","0.00911854103343465","329","7.54951656745106e-15"
"ak014","ak108","0.5076284426177","0.683018867924528","0","265","2.5431048378266e-09"
"ak014","ak12","0.503637421603826","0.681102362204724","0","254","7.80606446149079e-09"
"ak015","ak016","0.555890780631383","0.623188405797101","0.0072463768115942","414","5.35805116719246e-07"
"ak015","ak020","0.504374847730253","0.658482142857143","0.00223214285714286","448","1.96138660868428e-11"
"ak015","ak024","0.722131838592721","0.700892857142857","0.00446428571428571","448","0"
"ak015","ak027","0.549666832061248","0.679715302491103","0","281","1.68947789092044e-09"
"ak015","ak029","0.563829694249036","0.721374045801527","0","262","7.69384556065233e-13"
"ak015","ak030","0.63084356212769","0.712053571428571","0.00446428571428571","448","0"
"ak015","ak099","0.562645197928388","0.667574931880109","0.00272479564032698","367","1.3578493884836e-10"
"ak016","ak015","0.555890780631383","0.623188405797101","0.0072463768115942","414","5.35805116719246e-07"
"ak016","ak023","0.523797279104629","0.674731182795699","0.00268817204301075","372","1.58184576548592e-11"
"ak016","ak024","0.532052535896562","0.657004830917874","0.00241545893719807","414","1.66808789003881e-10"
"ak018","ak023","0.548438193085839","0.685393258426966","0.00374531835205993","267","1.37224676066694e-09"
"ak019","ak2","0.516707061614391","0.768292682926829","0","164","6.34647889796724e-12"
"ak019","ak9","0.526008025846614","0.71","0","100","2.66914980318056e-05"
"ak020","ak015","0.504374847730253","0.658482142857143","0.00223214285714286","448","1.96138660868428e-11"
"ak020","ak022","0.500677837230981","0.730434782608696","0","230","2.76001443921814e-12"
"ak020","ak023","0.517165263604134","0.631720430107527","0","372","3.7532800423179e-07"
"ak020","ak027","0.516185603103833","0.690391459074733","0","281","1.73555614324528e-10"
"ak020","ak030","0.516450055420661","0.645367412140575","0.00319488817891374","626","3.48610029732299e-13"
"ak020","ak099","0.598093828890702","0.724795640326976","0","367","0"
"ak021","ak022","0.571551274080115","0.795652173913043","0","230","0"
"ak022","ak020","0.500677837230981","0.730434782608696","0","230","2.76001443921814e-12"
"ak022","ak021","0.571551274080115","0.795652173913043","0","230","0"
"ak022","ak029","0.515365588313031","0.682819383259912","0","227","3.61075798149812e-08"
"ak023","ak016","0.523797279104629","0.674731182795699","0.00268817204301075","372","1.58184576548592e-11"
"ak023","ak018","0.548438193085839","0.685393258426966","0.00374531835205993","267","1.37224676066694e-09"
"ak023","ak020","0.517165263604134","0.631720430107527","0","372","3.7532800423179e-07"
"ak023","ak108","0.530584184135751","0.671698113207547","0","265","2.26957750371071e-08"
"ak023","ak12","0.584308849619889","0.677165354330709","0","254","1.63174793677001e-08"
"ak024","ak015","0.722131838592721","0.700892857142857","0.00446428571428571","448","0"
