"series_a","series_b","r","sgc","ssgc","overlap","p","distance_m"
"AK001","AK025","0.545495259835448","0.691570881226054","0.00574712643678161","522","0","52220.53145904"
"AK001","AK030","0.529931533376532","0.678181818181818","0.00181818181818182","550","0","63513.04517405"
"AK006","AK103","0.600181886089061","0.807962529274005","0.00234192037470726","427","0","119781.49307714"
"AK010","AK078","0.543811821388549","0.714285714285714","0.00911854103343465","329","7.54951656745106e-15","250163.54038459"
"AK014","AK108","0.5076284426177","0.683018867924528","0","265","2.5431048378266e-09","53256.36547839"
"AK014","AK12","0.503637421603826","0.681102362204724","0","254","7.80606446149079e-09","53891.27924036"
"AK015","AK016","0.555890780631383","0.623188405797101","0.0072463768115942","414","5.35805116719246e-07","36311.23256001"
"AK015","AK020","0.504374847730253","0.658482142857143","0.00223214285714286","448","1.96138660868428e-11","190542.55938188"
"AK015","AK024","0.722131838592721","0.700892857142857","0.00446428571428571","448","0","7845.20163687"
"AK015","AK027","0.549666832061248","0.679715302491103","0","281","1.68947789092044e-09","83012.00664182"
"AK015","AK029","0.563829694249036","0.721374045801527","0","262","7.69384556065233e-13","28069.25591262"
"AK015","AK030","0.63084356212769","0.712053571428571","0.00446428571428571","448","0","32477.40602985"
"AK015","AK099","0.562645197928388","0.667574931880109","0.00272479564032698","367","1.3578493884836e-10","180324.35680528"
"AK016","AK015","0.555890780631383","0.623188405797101","0.0072463768115942","414","5.35805116719246e-07","36311.23256001"
"AK016","AK023","0.523797279104629","0.674731182795699","0.00268817204301075","372","1.58184576548592e-11","115799.61488648"
"AK016","AK024","0.532052535896562","0.657004830917874","0.00241545893719807","414","1.66808789003881e-10","43971.52715404"
"AK018","AK023","0.548438193085839","0.685393258426966","0.00374531835205993","267","1.37224676066694e-09","47908.6134422"
"AK019","AK2","0.516707061614391","0.768292682926829","0","164","6.34647889796724e-12","44211.48166099"
"AK019","AK9","0.526008025846614","0.71","0","100","2.66914980318056e-05","47867.50526766"
"AK020","AK015","0.504374847730253","0.658482142857143","0.00223214285714286","448","1.96138660868428e-11","190542.55938188"
"AK020","AK022","0.500677837230981","0.730434782608696","0","230","2.76001443921814e-12","101086.88041749"
"AK020","AK023","0.517165263604134","0.631720430107527","0","372","3.7532800423179e-07","317819.70268887"
"AK020","AK027","0.516185603103833","0.690391459074733","0","281","1.73555614324528e-10","191941.51277488"
"AK020","AK030","0.516450055420661","0.645367412140575","0.00319488817891374","626","3.48610029732299e-13","178760.68180007"
"AK020","AK099","0.598093828890702","0.724795640326976","0","367","0","63646.60586798"
"AK021","AK022","0.571551274080115","0.795652173913043","0","230","0","129840.35636922"
"AK022","AK020","0.500677837230981","0.730434782608696","0","230","2.76001443921814e-12","101086.88041749"
"AK022","AK021","0.571551274080115","0.795652173913043","0","230","0","129840.35636922"
"AK022","AK029","0.515365588313031","0.682819383259912","0","227","3.61075798149812e-08","304329.69406233"
"AK023","AK016","0.523797279104629","0.674731182795699","0.00268817204301075","372","1.58184576548592e-11","115799.61488648"
"AK023","AK018","0.548438193085839","0.685393258426966","0.00374531835205993","267","1.37224676066694e-09","47908.6134422"
"AK023","AK020","0.517165263604134","0.631720430107527","0","372","3.7532800423179e-07","317819.70268887"
