"code","name_en","continent"
"ARGE052","Chile","South America"
"CHIL009","Chile","South America"
"ARGE091","Chile","South America"
"CHIL015","Chile","South America"
"CHIL011","Chile","South America"
"CHIL014","Chile","South America"
"CHIL007","Chile","South America"
"CHIL018","Chile","South America"
"CHIL017","Chile","South America"
"CHIL016","Chile","South America"
"CHIL013","Chile","South America"
"CHIL001","Chile","South America"
"CHIL012","Chile","South America"
"CHIL002","Chile","South America"
"ARGE023","Chile","South America"
"CHIL010","Chile","South America"
"CHIL008","Chile","South America"
"CHIL006","Chile","South America"
"ARGE039","Chile","South America"
"ARGE092","Chile","South America"
"ARGE066","Argentina","South America"
"ARGE036","Argentina","South America"
"ARGE033","Argentina","South America"
"ARGE034","Argentina","South America"
"ARGE043","Argentina","South America"
"ARGE046","Argentina","South America"
"ARGE038","Argentina","South America"
"ARGE030","Argentina","South America"
"ARGE055","Argentina","South America"
"ARGE060","Argentina","South America"
"ARGE061","Argentina","South America"
"ARGE062","Argentina","South America"
"ARGE022","Argentina","South America"
"ARGE073","Argentina","South America"
"ARGE096","Argentina","South America"
"ARGE057","Argentina","South America"
"ARGE087","Argentina","South America"
"ARGE001","Argentina","South America"
"ARGE007","Argentina","South America"
"ARGE002","Argentina","South America"
"ARGE005","Argentina","South America"
"ARGE089","Argentina","South America"
"ARGE090","Argentina","South America"
"ARGE042","Argentina","South America"
"ARGE041","Argentina","South America"
"ARGE044","Argentina","South America"
"ARGE076","Argentina","South America"
"ARGE084","Argentina","South America"
"ARGE008","Argentina","South America"
"ARGE010","Argentina","South America"
"ARGE017","Argentina","South America"
"ARGE009","Argentina","South America"
"ARGE021","Argentina","South America"
"ARGE004","Argentina","South America"
"ARGE","Argentina","South America"
"ARGE050","Argentina","South America"
"ARGE056","Argentina","South America"
"ARGE014","Argentina","South America"
"ARGE012","Argentina","South America"
"ARGE015","Argentina","South America"
"ARGE003","Argentina","South America"
"ARGE006","Argentina","South America"
"ARGE063","Argentina","South America"
"ARGE048","Argentina","South America"
"ARGE011","Argentina","South America"
"ARGE018","Argentina","South America"
"ARGE019","Argentina","South America"
"ARGE020","Argentina","South America"
"ARGE016","Argentina","South America"
"ARGE013","Argentina","South America"
"ARGE025","Argentina","South America"
"ARGE037","Argentina","South America"
"ARGE029","Argentina","South America"
"ARGE027","Argentina","South America"
"ARGE095","Argentina","South America"
"ARGE074","Argentina","South America"
"ARGE075","Argentina","South America"
"ARGE082","Argentina","South America"
"ARGE068","Argentina","South America"
"ARGE035","Argentina","South America"
"ARGE067","Argentina","South America"
"ARGE070","Argentina","South America"
"ARGE077","Argentina","South America"
"ARGE097","Argentina","South America"
"ARGE098","Argentina","South America"
"ARGE054","Argentina","South America"
"ARGE032","Argentina","South America"
"ARGE053","Argentina","South America"
"ARGE072","Argentina","South America"
"ARGE099","Argentina","South America"
"ARGE100","Argentina","South America"
"ARGE086","Argentina","South America"
"ARGE065","Argentina","South America"
"ARGE069","Argentina","South America"
"ARGE081","Argentina","South America"
"ARGE093","Argentina","South America"
"ARGE094","Argentina","South America"
"ARGE088","Argentina","South America"
"ARGE083","Argentina","South America"
"ARGE085","Argentina","South America"
"ARGE045","Argentina","South America"
"ARGE079","Argentina","South America"
"ARGE080","Argentina","South America"
"KENY002","Kenya","Africa"
"KENY001","Kenya","Africa"
