Mean_A,Radius_A,Mean_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p,p_GLK
068_Q1,C,1DH_Q1,C,192,0.60144688,0.60534398,10.40434118,10.48300049,0.71727749,0.04188482,0.0000000019,NULL
068_Q1,C,ELT_Q1,C,144,0.69443744,0.71956472,11.54086348,12.34776767,0.72027972,0.06293706,0.0000001377,NULL
068_Q1,C,ELT_Q1,M,144,0.33501477,0.72744005,4.25189904,12.63306903,0.71328671,0.03496503,0.0000003377,NULL
068_Q1,C,HOL_MBRU,H,100,0.61454194,0.68156732,7.75096718,9.22052924,0.72727273,0.04040404,0.0000061064,NULL
068_Q1,C,HOL_MRBR,H,128,0.34176759,0.59430931,4.09830675,8.29495417,0.71653543,0.06299213,0.0000010584,NULL
068_Q1,C,HOL_TRRB,H,56,0.56828345,0.72854807,5.12194277,7.81570022,0.80000000,0.03636364,0.0000085983,NULL
068_Q1,C,HORB3_Q1,M,233,0.18825694,0.58269451,2.91964817,10.89736063,0.70258621,0.03879310,0.0000000007,NULL
068_Q1,C,LANG_Q1,C,80,0.60038118,0.52136787,6.67276650,5.39601957,0.77215190,0.03797468,0.0000013123,NULL
068_Q1,C,VFH_Q2,C,233,0.70638978,0.71416617,15.20070374,15.50679297,0.75431034,0.03879310,0.0000000000,NULL
068_Q1,C,VFH_Q2,M,233,0.37708002,0.73510746,6.20128650,16.48005911,0.74568966,0.06896552,0.0000000000,NULL
068_Q1,M,068_Q2,M,215,0.41856353,0.67146163,6.74206204,13.22421041,0.71962617,0.04205607,0.0000000001,NULL
068_Q1,M,1DH_Q1,C,192,0.24875145,0.55074369,3.54937978,9.09513671,0.71727749,0.03664921,0.0000000019,NULL
068_Q1,M,BECRAA,B,165,0.21661985,0.59097360,2.84155753,9.35308166,0.70731707,0.04878049,0.0000001097,NULL
068_Q1,M,BECRKO,B,142,0.83286202,0.65375092,17.86817318,10.22226112,0.73049645,0.04964539,0.0000000440,NULL
068_Q1,M,ELT_Q1,C,144,0.35404309,0.73202870,4.52695447,12.80414531,0.72027972,0.06993007,0.0000001377,NULL
068_Q1,M,ELT_Q1,M,144,0.80095974,0.76111487,15.99765194,13.98318096,0.74125874,0.05594406,0.0000000079,NULL
068_Q1,M,HOL_TMB12,H,79,0.60944149,0.71738444,6.78888845,9.03577727,0.73076923,0.05128205,0.0000457782,NULL
068_Q1,M,VFH_Q2,C,233,0.27029570,0.63679330,4.27619266,12.55251145,0.70689655,0.04741379,0.0000000003,NULL
068_Q1,M,VFH_Q2,M,233,0.75753800,0.67441923,17.67560181,13.88271660,0.70689655,0.06896552,0.0000000003,NULL
068_Q2,M,068_Q1,M,215,0.41856353,0.67146163,6.74206204,13.22421041,0.71962617,0.04205607,0.0000000001,NULL
068_Q2,M,ELT_Q1,C,144,0.42096206,0.70991487,5.54965798,12.01158900,0.71328671,0.08391608,0.0000003377,NULL
068_Q3,C,VDMLR_Q2,C,89,0.63586421,0.62464008,7.72859252,7.46082659,0.75000000,0.06818182,0.0000027265,NULL
068_Q3,C,VDMLR_Q2,M,89,0.37477352,0.56184878,3.79206674,6.33501379,0.71590909,0.05681818,0.0000510399,NULL
068_Q3,M,VDMLR_Q2,C,89,0.39240210,0.62791099,4.00204706,7.52521593,0.76136364,0.04545455,0.0000009409,NULL
068_Q3,M,VDMLR_Q2,M,89,0.57016309,0.59707438,6.51052790,6.94245458,0.71590909,0.03409091,0.0000510399,NULL
195_Q1,C,HOL_TRRB,H,227,0.48816692,0.66682143,8.40877175,13.42201548,0.72123894,0.06637168,0.0000000000,NULL
195_Q1,C,VALK_Q2,C,152,0.54021587,0.58867499,7.88838372,8.91889667,0.72847682,0.04635762,0.0000000196,NULL
195_Q1,C,VALK_Q2,M,152,0.24217378,0.58238124,3.06718240,8.77419829,0.70860927,0.07284768,0.0000002946,NULL
195_Q1,M,FLEV1_Q1,C,80,0.46761493,0.56527424,4.70200326,6.05206502,0.73417722,0.03797468,0.0000314334,NULL
195_Q1,M,HOL_LKSB,H,103,0.47894704,0.61410161,5.51023767,7.81986050,0.70588235,0.04901961,0.0000320176,NULL
195_Q1,M,HOL_MRBR,H,137,0.20416377,0.67147353,2.43216760,10.52836301,0.71323529,0.06617647,0.0000006577,NULL
195_Q1,M,HOL_TRRB,H,227,-0.01039256,0.65756644,-0.15624286,13.09203822,0.76548673,0.03982301,0.0000000000,NULL
195_Q1,M,MAP_Q1,C,121,0.49693208,0.56842523,6.27297120,7.53679833,0.71666667,0.02500000,0.0000020653,NULL
