Mean_A,Radius_A,Mean_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p,p_GLK
068_Q1,C,068_Q2,C,215,0.51938287,0.50637540,8.89121838,8.57032697,0.64018692,0.07009346,0.0000410453,NULL
068_Q1,C,068_Q2,M,215,0.17123019,0.57761921,2.54243072,10.32709696,0.69158879,0.03738318,0.0000000208,NULL
068_Q1,C,1DH_Q1,C,192,0.60144688,0.60534398,10.40434118,10.48300049,0.71727749,0.04188482,0.0000000019,NULL
068_Q1,C,1DH_Q1,M,192,0.43243463,0.61122233,6.62814194,10.64504798,0.67015707,0.04712042,0.0000025607,NULL
068_Q1,C,1TN_Q1,C,233,0.56351062,0.50823506,10.38983948,8.96927449,0.63362069,0.04741379,0.0000469125,NULL
068_Q1,C,563_Q1,C,233,0.51853267,0.52173199,9.23686586,9.29498535,0.68103448,0.03879310,0.0000000349,NULL
068_Q1,C,563_Q1,M,233,0.42989358,0.54157661,7.25228938,9.79151627,0.65517241,0.03879310,0.0000022783,NULL
068_Q1,C,BECRAA,B,165,0.09933559,0.53592511,1.27843945,8.10436236,0.68902439,0.04268293,0.0000012894,NULL
068_Q1,C,BECRKO,B,142,0.38226252,0.59550426,4.91217722,8.77087513,0.68085106,0.04255319,0.0000174713,NULL
068_Q1,C,C4A_Q1,C,233,0.47672888,0.54773276,8.26041150,9.95013919,0.65948276,0.03879310,0.0000011838,NULL
068_Q1,C,C4A_Q1,M,233,0.36560253,0.52544764,5.98288015,9.38630605,0.68965517,0.04310345,0.0000000076,NULL
068_Q1,C,DMN1_Q3,C,216,0.64090543,0.64851459,12.24241187,12.46311449,0.67441860,0.04186047,0.0000003138,NULL
068_Q1,C,DMN1_Q3,M,216,0.37430652,0.65671964,5.91866835,12.73907531,0.66046512,0.07906977,0.0000025292,NULL
068_Q1,C,ELT_Q1,C,144,0.69443744,0.71956472,11.54086348,12.34776767,0.72027972,0.06293706,0.0000001377,NULL
068_Q1,C,ELT_Q1,M,144,0.33501477,0.72744005,4.25189904,12.63306903,0.71328671,0.03496503,0.0000003377,NULL
068_Q1,C,HOL_KBMB,H,233,0.47670438,0.59602282,8.25986215,11.28160565,0.65517241,0.03017241,0.0000022783,NULL
068_Q1,C,HOL_LKBB,H,178,0.38812141,0.60034059,5.60283563,9.95870356,0.67231638,0.02824859,0.0000045390,NULL
068_Q1,C,HOL_LKSB,H,200,0.42274766,0.52051901,6.58053125,8.57803006,0.65326633,0.04522613,0.0000153103,NULL
