"Series_A","Series_B"
"065169","068034"
"065169","068089"
"065169","1DH0032"
"065169","OSH0010"
"065169","VAL0025"
"068_QT01","068_QT02"
"068_QT01","068_QT06"
"068_QT01","068022"
"068_QT01","068032"
"068_QT01","068072"
"068_QT01","068075"
"068_QT01","068082"
"068_QT01","068115"
"068_QT01","068117"
"068_QT01","068120"
"068_QT01","ELT0003"
"068_QT02","068_QT01"
"068_QT02","068024"
"068_QT02","068026"
"068_QT02","068029"
"068_QT02","068072"
"068_QT02","068081"
"068_QT02","068087"
"068_QT02","068130"
"068_QT02","068138"
"068_QT02","068144"
"068_QT02","ELT0003"
"068_QT02","MEH0011"
"068_QT03","195006"
"068_QT03","IJS0003"
"068_QT04","068096"
"068_QT04","VAL0014"
"068_QT04","VFH_QT2"
"068_QT04","VFH0009"
"068_QT05","068026"
"068_QT05","068087"
"068_QT06","068_QT01"
"068_QT06","068032"
"068_QT06","068072"
"068_QT06","068075"
"068_QT06","068082"
"068_QT06","068087"
"068_QT06","068115"
"068_QT06","068120"
"068_QT06","ELT0003"
"068_QT06","ELT2004"
"068_QT06","MEH0011"
"068_QT07","068100"
"068_QT07","HORB325"
"068_QT08","068100"
"068001","VAL0014"
"068002","VAL0014"
"068002","LANG102"
"068002","VFH0054"
"068002","WS3_QT1"
"068005","068007"
"068005","NOVY131"
"068005","068065"
"068005","VAL0014"
"068005","HBW2002"
"068007","068005"
"068009","ELT2003"
"068009","ELT2004"
"068009","VFH0024"
"068009","VFH0035"
"068013","VAL0014"
"068015","068025"
"068015","068085"
"068015","068094"
"068015","068096"
"068015","HORB320"
"068018","068033"
"068022","068_QT01"
"068022","068026"
"068022","068072"
"068022","068087"
"068022","068115"
"068022","068130"
"068022","ELT0003"
"068022","068124"
"068022","ELT2004"
"068022","068100"
"068022","068144"
"068022","6001004"
"068022","BHC0059"
"068023","195020"
"068023","C4A_QT3"
"068023","VFH0035"
"068023","PLIC101"
"068024","068_QT02"
"068024","068029"
"068024","068036"
"068024","068072"
"068024","068081"
"068024","068087"
"068024","068160"
"068024","ELT0005"
"068024","VDMW201"
"068024","VDMWL53"
"068024","068130"
"068024","ELT_QT1"
"068024","ELT0003"
"068024","ELT2001"
"068024","ELT2002"
"068024","ELT2004"
"068024","LOK0005"
"068025","068015"
"068025","195028"
"068025","C4A0601"
"068025","OSD0017"
"068025","VEND048"
"068026","068_QT05"
"068026","068022"
"068026","068_QT02"
"068026","068031"
"068026","068037"
"068026","068124"
"068026","068142"
"068026","VEL2001"
"068028","195009"
"068028","195048"
"068028","ELT0005"
"068028","195050"
"068029","068_QT02"
"068029","068024"
"068029","068036"
"068029","068072"
"068029","068081"
"068029","ELT_QT1"
"068029","068083"
"068029","BHO0002"
"068029","ELT2004"
"068030","LANG101"
"068031","068026"
"068031","ELT0003"
"068031","185150"
"068032","068_QT01"
"068032","068_QT06"
"068032","068082"
"068032","068119"
"068032","ELT0003"
"068032","068115"
"068032","BHC0056"
"068033","068034"
"068033","068018"
"068034","065169"
"068034","068033"
"068034","1DH0032"
"068034","068144"
"068036","068024"
"068036","068029"
"068036","068081"
"068036","HORB330"
"068036","068135"
"068037","068026"
"068042","VFH0024"
"068049","068083"
"068056","6001004"
"068056","TROY083"
"068056","NWH0032"
"068056","TROY216"
"068056","VAL0014"
"068056","VEN0004"
"068063","068093"
"068063","068065"
"068063","068094"
"068063","VAL0014"
"068063","56304003"
"068065","068005"
"068065","068063"
"068065","068093"
"068065","SILL_QT3"
"068071","LANG101"
"068072","068029"
"068071","SARR216"
"068072","068_QT01"
"068072","068_QT02"
"068072","068075"
"068072","068076"
