"","node","com_name","networktype"
"1","068_Q1","CPM_K3_01",2
"2","068_Q2","CPM_K3_01",2
"3","195_Q1","CPM_K3_01",2
"4","1TN_Q1","CPM_K3_01",2
"5","202_Q1","CPM_K3_01",2
"6","BECRAA","CPM_K3_01",2
"7","BOUX_Q1","CPM_K3_01",2
"8","C4A_Q1","CPM_K3_01",2
"9","DMN1_Q3","CPM_K3_01",2
"10","ELT_Q1","CPM_K3_01",2
"11","FLEV1_Q1","CPM_K3_01",2
"12","HOK_Q1","CPM_K3_01",2
"13","HOL_KBMB","CPM_K3_01",2
"14","HOL_LKBB","CPM_K3_01",2
"15","HOL_LKSB","CPM_K3_01",2
"16","HOL_MBRU","CPM_K3_01",2
"17","HOL_MBUF","CPM_K3_01",2
"18","HOL_MRBR","CPM_K3_01",2
"19","HOL_PALZ","CPM_K3_01",2
"20","HOL_TMB12","CPM_K3_01",2
"21","HOL_TMB21","CPM_K3_01",2
"22","HOL_TRPB","CPM_K3_01",2
"23","HOL_TRRB","CPM_K3_01",2
"24","HOL_TRRS","CPM_K3_01",2
"25","HORB1_Q1","CPM_K3_01",2
"26","HORB2_Q1","CPM_K3_01",2
"27","HORB3_Q1","CPM_K3_01",2
"28","IWRD_Q1","CPM_K3_01",2
"29","MAP_Q1","CPM_K3_01",2
"30","MMB_Q1","CPM_K3_01",2
"31","OFBG_Q1","CPM_K3_01",2
"32","SAND_Q1","CPM_K3_01",2
"33","SARR6_Q1","CPM_K3_01",2
"34","SAUL_Q1","CPM_K3_01",2
"35","SILL_Q2","CPM_K3_01",2
"36","TROY_Q1","CPM_K3_01",2
"37","VALK_Q1","CPM_K3_01",2
"38","VALK_Q2","CPM_K3_01",2
"39","VDM2W_Q1","CPM_K3_01",2
"40","VDMLR_Q1","CPM_K3_01",2
"41","VDMLR_Q2","CPM_K3_01",2
"42","VDMWL_Q1","CPM_K3_01",2
"43","VDMWL_Q3","CPM_K3_01",2
"44","VEN_Q1","CPM_K3_01",2
"45","VFH_Q2","CPM_K3_01",2
"46","VIGO_Q1","CPM_K3_01",2
"47","VNW_Q1","CPM_K3_01",2
"48","VRW_Q1","CPM_K3_01",2
"49","388_Q1","CPM_K3_02",2
"50","585_Q2","CPM_K3_02",2
"51","600_Q1","CPM_K3_02",2
"52","DMN1_Q1","CPM_K3_02",2
"53","MEK_Q1","CPM_K3_02",2
"54","NOVY_Q2","CPM_K3_02",2
"55","ALC_Q1","CPM_K3_03",2
"56","C5A_Q1","CPM_K3_03",2
"57","SPR_Q1","CPM_K3_03",2
"58","VDMM_Q1","CPM_K3_03",2
"59","VDMWL_Q2","CPM_K3_03",2
"60","VEL_Q2","CPM_K3_03",2
"61","202_Q1","CPM_K3_04",2
"62","HOL_KORB","CPM_K3_04",2
"63","HOL_MB253","CPM_K3_04",2
"64","HOL_TATE","CPM_K3_04",2
"65","HOL_TRMB32","CPM_K3_04",2
"66","METZ_Q3","CPM_K3_04",2
"67","DEU_Q1","CPM_K3_05",2
"68","EMP_Q1","CPM_K3_05",2
"69","OSND_Q1","CPM_K3_05",2
"70","NEW_Q1","CPM_K3_06",2
"71","POM4_Q1","CPM_K3_06",2
"72","SWP_Q1","CPM_K3_06",2
"73","VDMWL_Q1","CPM_K3_06",2
"74","HOL_TITE","CPM_K3_07",2
"75","ILLA_Q1","CPM_K3_07",2
"76","TROY_Q1","CPM_K3_07",2
"77","068_Q1","CPM_K4_01",2
"78","195_Q1","CPM_K4_01",2
"79","1TN_Q1","CPM_K4_01",2
"80","BOUX_Q1","CPM_K4_01",2
"81","C4A_Q1","CPM_K4_01",2
"82","FLEV1_Q1","CPM_K4_01",2
"83","HOL_KBMB","CPM_K4_01",2
"84","HOL_LKBB","CPM_K4_01",2
"85","HOL_MBRU","CPM_K4_01",2
"86","HOL_MBUF","CPM_K4_01",2
"87","HOL_MRBR","CPM_K4_01",2
"88","HOL_TRRB","CPM_K4_01",2
"89","HOL_TRRS","CPM_K4_01",2
"90","SILL_Q2","CPM_K4_01",2
"91","TROY_Q1","CPM_K4_01",2
"92","VALK_Q2","CPM_K4_01",2
"93","VDM2W_Q1","CPM_K4_01",2
"94","VDMLR_Q1","CPM_K4_01",2
"95","VFH_Q2","CPM_K4_01",2
"96","VIGO_Q1","CPM_K4_01",2
"97","VNW_Q1","CPM_K4_01",2
"98","HOK_Q1","CPM_K4_02",2
"99","VALK_Q1","CPM_K4_02",2
