"","node","com_name","networktype"
"1","195050","CPM_K3_01",1
"2","OFBG212","CPM_K3_01",1
"3","VFH0035","CPM_K3_01",1
"4","195001","CPM_K3_02",1
"5","195003","CPM_K3_02",1
"6","195004","CPM_K3_02",1
"7","195005","CPM_K3_02",1
"8","195006","CPM_K3_02",1
"9","195007","CPM_K3_02",1
"10","195008","CPM_K3_02",1
"11","195009","CPM_K3_02",1
"12","195010","CPM_K3_02",1
"13","195011","CPM_K3_02",1
"14","195012","CPM_K3_02",1
"15","195014","CPM_K3_02",1
"16","195015","CPM_K3_02",1
"17","195016","CPM_K3_02",1
"18","195017","CPM_K3_02",1
"19","195018","CPM_K3_02",1
"20","195019","CPM_K3_02",1
"21","195020","CPM_K3_02",1
"22","195021","CPM_K3_02",1
"23","195022","CPM_K3_02",1
"24","195023","CPM_K3_02",1
"25","195024","CPM_K3_02",1
"26","195025","CPM_K3_02",1
"27","195026","CPM_K3_02",1
"28","195027","CPM_K3_02",1
"29","195028","CPM_K3_02",1
"30","195029","CPM_K3_02",1
"31","195031","CPM_K3_02",1
"32","195032","CPM_K3_02",1
"33","195033","CPM_K3_02",1
"34","195035","CPM_K3_02",1
"35","195036","CPM_K3_02",1
"36","195043","CPM_K3_02",1
"37","195044","CPM_K3_02",1
"38","195047","CPM_K3_02",1
"39","195048","CPM_K3_02",1
"40","195049","CPM_K3_02",1
"41","195050","CPM_K3_02",1
"42","195052","CPM_K3_02",1
"43","195053","CPM_K3_02",1
"44","1TN0067","CPM_K3_02",1
"45","1TN0100","CPM_K3_02",1
"46","C4A_QT2","CPM_K3_02",1
"47","C4A_QT3","CPM_K3_02",1
"48","C4A0201","CPM_K3_02",1
"49","FLEV_QT1","CPM_K3_02",1
"50","FLEV_QT2","CPM_K3_02",1
"51","FLEV_QT3","CPM_K3_02",1
"52","FLEV103","CPM_K3_02",1
"53","FLEV106","CPM_K3_02",1
"54","FLEV109","CPM_K3_02",1
"55","FLEV113","CPM_K3_02",1
"56","FLEV117","CPM_K3_02",1
"57","FLEV127","CPM_K3_02",1
"58","FLEV128","CPM_K3_02",1
"59","FLEV129","CPM_K3_02",1
"60","FLEV137","CPM_K3_02",1
"61","FLEV150","CPM_K3_02",1
"62","HORB105","CPM_K3_02",1
"63","HORB328","CPM_K3_02",1
"64","HORB336","CPM_K3_02",1
"65","MAP0002","CPM_K3_02",1
"66","MAP0003","CPM_K3_02",1
"67","MRW0002","CPM_K3_02",1
"68","SARR216","CPM_K3_02",1
"69","SILL120","CPM_K3_02",1
"70","SILL146","CPM_K3_02",1
"71","SILL150","CPM_K3_02",1
"72","SILL151","CPM_K3_02",1
"73","TROY008","CPM_K3_02",1
"74","TROY020","CPM_K3_02",1
"75","TROY025","CPM_K3_02",1
"76","TROY033","CPM_K3_02",1
"77","TROY039","CPM_K3_02",1
"78","TROY049","CPM_K3_02",1
"79","TROY074","CPM_K3_02",1
"80","TROY083","CPM_K3_02",1
"81","TROY090","CPM_K3_02",1
"82","TROY105","CPM_K3_02",1
"83","TROY117","CPM_K3_02",1
"84","TROY125","CPM_K3_02",1
"85","TROY127","CPM_K3_02",1
"86","TROY170","CPM_K3_02",1
"87","TROY172","CPM_K3_02",1
"88","TROY173","CPM_K3_02",1
"89","TROY176","CPM_K3_02",1
"90","TROY180","CPM_K3_02",1
"91","TROY184","CPM_K3_02",1
"92","TROY208","CPM_K3_02",1
"93","TROY216","CPM_K3_02",1
"94","VAL0025","CPM_K3_02",1
"95","VEND213","CPM_K3_02",1
"96","VFH_QT5","CPM_K3_02",1
"97","VFH0015","CPM_K3_02",1
"98","VFH0023","CPM_K3_02",1
"99","VFH0047","CPM_K3_02",1
"100","VILE101","CPM_K3_02",1
"101","VLD0001","CPM_K3_02",1
"102","VNW0001","CPM_K3_02",1
"103","VNW0004","CPM_K3_02",1
"104","F1B0101","CPM_K3_03",1
"105","F1B0102","CPM_K3_03",1
"106","F1B0103","CPM_K3_03",1
"107","F1B0201","CPM_K3_03",1
"108","F1B0301","CPM_K3_03",1
"109","F1B0302","CPM_K3_03",1
"110","F1B0401","CPM_K3_03",1
"111","F1B0402","CPM_K3_03",1
"112","F1B0502","CPM_K3_03",1
"113","F1B0503","CPM_K3_03",1
"114","F1B0504","CPM_K3_03",1
"115","F1B0505","CPM_K3_03",1
"116","F1B0601","CPM_K3_03",1
"117","F1B0602","CPM_K3_03",1
"118","F1B0603","CPM_K3_03",1
"119","MRW0003","CPM_K3_03",1
"120","VFH0037","CPM_K3_03",1
"121","185_QT2","CPM_K3_04",1
"122","185_QT3","CPM_K3_04",1
"123","185021","CPM_K3_04",1
"124","185039","CPM_K3_04",1
"125","185060","CPM_K3_04",1
"126","185074","CPM_K3_04",1
"127","185092","CPM_K3_04",1
"128","185108","CPM_K3_04",1
"129","185111","CPM_K3_04",1
"130","185126","CPM_K3_04",1
"131","185143","CPM_K3_04",1
"132","185321","CPM_K3_04",1
"133","185322","CPM_K3_04",1
"134","185323","CPM_K3_04",1
"135","185325","CPM_K3_04",1
"136","185330","CPM_K3_04",1
"137","185331","CPM_K3_04",1
"138","185332","CPM_K3_04",1
"139","185334","CPM_K3_04",1
"140","185336","CPM_K3_04",1
"141","185337","CPM_K3_04",1
"142","185342","CPM_K3_04",1
"143","185343","CPM_K3_04",1
"144","185350","CPM_K3_04",1
"145","185362","CPM_K3_04",1
"146","185380","CPM_K3_04",1
"147","202_QT1","CPM_K3_05",1
"148","202018","CPM_K3_05",1
"149","202023","CPM_K3_05",1
"150","202034","CPM_K3_05",1
"151","202038","CPM_K3_05",1
"152","202039","CPM_K3_05",1
"153","202040","CPM_K3_05",1
