"","degree","count"
"1","1",353
"2","2",269
"3","3",201
"4","4",172
"5","5",140
"6","6",110
"7","7",72
"8","8",67
"9","9",60
"10","10",35
"11","11",38
"12","12",34
"13","13",24
"14","14",33
"15","15",28
"16","16",15
"17","17",24
"18","18",10
"19","19",10
"20","20",11
"21","21",3
"22","22",5
"23","23",4
"24","24",1
"25","25",2
"26","26",6
"27","27",2
"28","28",3
"29","29",3
"30","30",6
"31","31",3
"32","32",5
"33","33",3
"34","34",3
"35","35",3
"36","36",3
"37","37",2
"38","38",2
"39","39",3
"40","40",1
"41","41",1
"42","43",1
"43","44",1
"44","47",1
"45","48",1
"46","53",1
"47","55",1
"48","58",1
"49","65",1
