"location_id","country","place","complex_site","site_location_utm_wkt","sample","radius","context","find_nr","species","wood_shape","type_context","feature","number_of_rings","missing_to_pith","sapwood_rings","missing_to_waney_edge","felling_season","date_first_ring","date_last_ring","laboratory","researcher"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0006","1",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",134,NULL,NULL,NULL,NULL,-104,30,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0007","1",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",123,NULL,NULL,20,NULL,-244,-122,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0008","1","Stam 8",NULL,"QUSP","1","N","Subfossil tree, bog",112,NULL,NULL,20,NULL,-260,-149,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0010","1",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",124,NULL,NULL,NULL,NULL,-293,-170,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0011","Q",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",167,NULL,NULL,NULL,NULL,-302,-136,"RING","RMV"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABN0007","2","Stam 7","=ABC0007","QUSP","1","N","Subfossil tree, bog",127,NULL,NULL,20,NULL,-225,-99,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABN0082","2","Abcoude 8","=ABC0008","QUSP","1","N","Subfossil tree, bog",117,NULL,NULL,20,NULL,-266,-150,"RING","EH"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABN0021","0","Stam 2",NULL,"QUSP","1","N","Subfossil tree, bog",119,4,NULL,20,NULL,326,444,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0001","1",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",179,NULL,NULL,26,NULL,-182,-4,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0002","1",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",227,NULL,NULL,26,NULL,-220,7,"RING","EJ"
"Abcoude01","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(635408.08175216 5794129.90085357)","ABC0004","1",NULL,NULL,"QUSP","1","N","Subfossil tree, bog",148,NULL,NULL,20,NULL,-215,-68,"RING","EJ"
"Abcoude02","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(633016.188261521 5793850.96031428)","ABF0014","1","Monster van Heer Keizer",NULL,"QUSP","1","N","Subfossil tree, bog",90,10,7,13,NULL,-208,-119,"RING","EH"
"Abcoude02","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(633016.188261521 5793850.96031428)","ABF0021","0","Eiken van Dhr Nagel",NULL,"QUSP","1","N","Subfossil tree, bog",193,40,NULL,26,NULL,-257,-65,"RING","EH"
"Abcoude02","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(633016.188261521 5793850.96031428)","ABF0015","0","Eiken van Dhr Nagel",NULL,"QUSP","1","N","Subfossil tree, bog",158,5,4,16,NULL,-127,31,"RING","EH"
"Abcoude02","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(633016.188261521 5793850.96031428)","ABF0012","0","Monster van Heer Keizer",NULL,"QUSP","1","N","Subfossil tree, bog",135,10,NULL,20,NULL,53,187,"RING","EH"
"Abcoude02","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(633016.188261521 5793850.96031428)","ABF0013","1","Monster van Heer Keizer",NULL,"QUSP","1","N","Subfossil tree, bog",131,10,NULL,20,NULL,-183,-53,"RING","EH"
"Abcoude02","NL","Abcoude","Subfossil, bog","SRID=23031;POINT(633016.188261521 5793850.96031428)","ABF0009","1","Monster van Heer Keizer",NULL,"QUSP","1","N","Subfossil tree, bog",211,20,NULL,88,NULL,144,354,"RING","EH"
