"Tree_id","Sample"
"068_QT01","068045"
"068_QT01","068046"
"068_QT01","068050"
"068_QT01","068059"
"068_QT01","068061"
"068_QT02","068035"
"068_QT02","068044"
"068_QT02","068067"
"068_QT02","068070"
"068_QT02","068074"
"068_QT02","068078"
"068_QT03","068004"
"068_QT03","068006"
"068_QT04","068090"
"068_QT04","068098"
"068_QT05","068008"
"068_QT05","068062"
"068_QT06","068086"
"068_QT06","068099"
"068_QT07","068125"
"068_QT07","068133"
"068_QT08","068136"
"068_QT08","068137"
"185_QT1","185001"
"185_QT1","185005"
"185_QT1","185007"
"185_QT1","185008"
"185_QT1","185010"
"185_QT2","185026"
"185_QT2","185027"
"185_QT3","185346"
"185_QT3","185348"
"185_QT4","185339"
"185_QT4","185340"
"185_QT5","185063"
"185_QT5","185099"
"185_QT6","185361"
"185_QT6","185366"
"185_QT6","185369"
"185_QT6","185382"
"185_QT6","185383"
"1AH_QT1","1AH0030"
"1AH_QT1","1AH0031"
"1AH_QT2","1AH0033"
"1AH_QT2","1AH0034"
"1AH_QT2","1AH0035"
"1AH_QT3","1AH0014"
"1AH_QT3","1AH0015"
"1DH_QT1","1DH0022"
"1DH_QT1","1DH0023"
"1DH_QT2","1DH0025"
"1DH_QT2","1DH0027"
"1DH_QT2","1DH0028"
"1DH_QT2","1DH0029"
"1TN_QT1","1TN0064"
"1TN_QT1","1TN0065"
"1TN_QT2","1TN0069"
"1TN_QT2","1TN0075"
"1TN_QT3","1TN0070"
"1TN_QT3","1TN0071"
"1TN_QT3","1TN0073"
"1TN_QT3","1TN0077"
"1TN_QT4","1TN0078"
"1TN_QT4","1TN0079"
"1TN_QT4","1TN0081"
"1TN_QT5","1TN0088"
"1TN_QT5","1TN0092"
"1TN_QT6","1TN0089"
"1TN_QT6","1TN0091"
"1TN_QT7","1TN0110"
"1TN_QT7","1TN0111"
"1TN_QT7","1TN0114"
"1TN_QT7","1TN0115"
"1TN_QT8","1TN0121"
"1TN_QT8","1TN0122"
"1TN_QT8","1TN0125"
"1TN_QT8","1TN0127"
"202_QT1","202064"
"202_QT1","202073"
"202_QT2","202093"
"202_QT2","202095"
"388_QT1","388004"
"388_QT1","388005"
"388_QT1","388006"
"388_QT1","388014"
"388_QT1","388017"
"388_QT1","388020"
"388_QT2","388002"
"388_QT2","388003"
"388_QT2","388016"
"388_QT2","388018"
"563_QT1","56303002"
"563_QT1","56303003"
"587_QT1","587002"
"587_QT1","587004"
"587_QT2","5870403"
"587_QT2","5870404"
"587_QT2","5870406"
"AKE_QT1","AKE0002"
"AKE_QT1","AKE0003"
"ALC_FT1","ALC0092"
"ALC_FT1","ALC0095"
"ALC_QT1","ALC0025"
"ALC_QT1","ALC0028"
"ALC_QT1","ALC0100"
"ATT_QT1","ATTO101"
"ATT_QT1","ATTO102"
"ATT_QT1","ATTO104"
"ATT_QT1","ATTO105"
"ATT_QT1","ATTO106"
"ATT_QT1","ATTO107"
"ATT_QT1","ATTO108"
"ATT_QT1","ATTO109"
"ATT_QT1","ATTO110"
"BAD_QT1","BAD0001"
"BAD_QT1","BAD0002"
"BAD_QT1","BAD0003"
"BAD_QT1","BAD0004"
"BAR_QT1","BAR0004"
"BAR_QT1","BAR0009"
"BAR_QT2","BAR0007"
"BAR_QT2","BAR0011"
"BHC_QT1","BHC0069"
"BHC_QT1","BHC0072"
"BHC_QT2","BHC0083"
"BHC_QT2","BHC0085"
"BHC_QT2","BHC0088"
"BHC_QT3","BHC0054"
"BHC_QT3","BHC0090"
"BHC_QT4","BHC0070"
"BHC_QT4","BHC0074"
"BHC_QT4","BHC0082"
"C4A_QT1","C4A0301"
"C4A_QT1","C4A0503"
"C4A_QT1","C4A0505"
"C4A_QT1","C4A0801"
"C4A_QT1","C4A0802"
"C4A_QT1","C4A0804"
"C4A_QT2","C4A1401"
"C4A_QT2","C4A1402"
"C4A_QT3","C4A0401"
"C4A_QT3","C4A0402"
"C4A_QT3","C4A1601"
"C4A_QT3","C4A1602"
"C5A_QT1","C5A0301"
"C5A_QT1","C5A0302"
"C5A_QT2","C5A0303"
"C5A_QT2","C5A0406"
"C5A_QT2","C5A0407"
"C5A_QT2","C5A0501"
"C5A_QT3","C5A0308"
"C5A_QT3","C5A0405"
"CAO_QT1","CAO0005"
"CAO_QT1","CAO0028"
"CAO_QT2","CAO0006"
"CAO_QT2","CAO0007"
"COS_QT1","COS0003"
"COS_QT1","COS0004"
"CUY_QT1","CUY0104"
"CUY_QT1","CUY0105"
"CUY_QT2","CUY0046"
"CUY_QT2","CUY0047"
"D1A_QT1","D1A0201"
"D1A_QT1","D1A0401"
"D1A_QT1","D1A0501"
"D1A_QT1","D1A0601"
"D1A_QT1","D1A0701"
"D1A_QT1","D1A0901"
"D2A_QT1","D2A0101"
"D2A_QT1","D2A0201"
"D2A_QT1","D2A0301"
"D2A_QT1","D2A0501"
"D2A_QT1","D2A0601"
"D2A_QT1","D2A0801"
"D2A_QT2","D2A0401"
"D2A_QT2","D2A0701"
"DAMB_QT1","DAMB102"
"DAMB_QT1","DAMB104"
"DAMB_QT1","DAMB108"
"DAMB_QT1","DAMB109"
"DAMB_QT1","DAMB114"
"DAMB_QT2","DAMB111"
"DAMB_QT2","DAMB113"
"DAMP_QT1","DAMP101"
"DAMP_QT1","DAMP110"
"DAMP_QT2","DAMP104"
"DAMP_QT2","DAMP106"
"DAMP_QT2","DAMP109"
"DMN1_QT1","DMN1003"
"DMN1_QT1","DMN1004"
"DMN1_QT1","DMN1005"
"DMN1_QT1","DMN1006"
"DMN1_QT2","DMN1KD1"
"DMN1_QT2","DMN1KD2"
"DMN4_QT1","DMN4005"
"DMN4_QT1","DMN4014"
"DMN4_QT2","DMN4006"
"DMN4_QT2","DMN4015"
"DOUX_QT1","DOUX103"
"DOUX_QT1","DOUX104"
"EKB_QT1","EKB0004"
"EKB_QT1","EKB0006"
"EKB_QT2","EKB0014"
"EKB_QT2","EKB0018"
"EL_QT1","EL_20A"
"EL_QT1","EL_20B"
"EL_QT1","EL_20C"
"ELS_QT1","ELS0002"
"ELS_QT1","ELS0004"
"ELS_QT1","ELS0008"
"ELS_QT2","ELS0009"
"ELS_QT2","ELS0010"
"ELT_QT1","ELT0006"
"ELT_QT1","ELT0007"
"ELT_QT1","ELT0008"
"ELT_QT1","ELT0009"
"EMP_QT1","EMP0005"
"EMP_QT1","EMP0006"
"FLEV_QT1","FLEV126"
"FLEV_QT1","FLEV134"
"FLEV_QT2","FLEV132"
"FLEV_QT2","FLEV149"
"FLEV_QT3","FLEV131"
"FLEV_QT3","FLEV148"
"GEN_QT1","GEN0013"
"GEN_QT1","GEN0014"
"GEN_QT1","GEN0019"
"GEN_QT1","GEN0020"
"GEN_QT1","GEN0023"
"GEP_QT1","GEP0001"
"GEP_QT1","GEP0008"
"GEP_QT1","GEP0011"
"GMW_QT1","GMW0001"
"GMW_QT1","GMW0004"
"HER_QT1","HER0001"
"HER_QT1","HER0002"
"HER_QT1","HER0003"
"HER_QT1","HER0004"
"HER_QT1","HER0005"
"HER_QT1","HER0006"
"HER_QT1","HER0007"
"HER_QT1","HER0008"
"HKL_QT1","HKL0003"
"HKL_QT1","HKL0004"
"HOK_QT1","HOK0003"
"HOK_QT1","HOK0004"
"HOK_QT1","HOK0006"
"HOK_QT2","HOK0016"
"HOK_QT2","HOK0017"
"HORB1QT1","HORB103"
"HORB1QT1","HORB109"
"HORB3QT1","HORB314"
"HORB3QT1","HORB318"
"HORB3QT2","HORB322"
"HORB3QT2","HORB323"
"HORB3QT3","HORB333"
"HORB3QT3","HORB334"
"HORB3QT4","HORB335"
"HORB3QT4","HORB346"
"HORB3QT4","HORB347"
"HORB3QT5","HORB339"
"HORB3QT5","HORB345"
"HORB3QT6","HORB355"
"HORB3QT6","HORB357"
"HRW_QT1","HRW0001"
"HRW_QT1","HRW0002"
"HRW3_QT1","HRW3001"
"HRW3_QT1","HRW3002"
"HRW4_QT1","HRW4001"
"HRW4_QT1","HRW4002"
"HRW4_QT1","HRW4003"
"HRW4_QT1","HRW4004"
"HRW4_QT1","HRW4005"
"HRW4_QT1","HRW4006"
"HRW4_QT1","HRW4007"
"HRW4_QT1","HRW4008"
"HRW4_QT1","HRW4009"
"IBYK_QT1","IBYK001"
"IBYK_QT1","IBYK002"
"IBYK_QT1","IBYK009"
