"site_chronology","sample","radius","remarks"
"068_Q1","065169","A",NULL
"068_Q1","068001","0",NULL
"068_Q1","068002","0",NULL
"068_Q1","068003","D",NULL
"068_Q1","068004","C","As tree 068_QT03"
"068_Q1","068006","B","As tree 068_QT03"
"068_Q1","068007","0",NULL
"068_Q1","068009","0",NULL
"068_Q1","068013","A",NULL
"068_Q1","068015","Q",NULL
"068_Q1","068018","0",NULL
"068_Q1","068023","Q",NULL
"068_Q1","068024","A",NULL
"068_Q1","068025","0",NULL
"068_Q1","068026","Q",NULL
"068_Q1","068028","0",NULL
"068_Q1","068029","0",NULL
"068_Q1","068030","0",NULL
"068_Q1","068033","Q",NULL
"068_Q1","068033","X",NULL
"068_Q1","068034","0",NULL
"068_Q1","068035","0","As tree 068_QT02Q; after 98(52) removed"
"068_Q1","068036","0",NULL
"068_Q1","068039","0",NULL
"068_Q1","068042","0",NULL
"068_Q1","068044","0","As tree 068_QT02Q; after 98(52) removed"
"068_Q1","068045","0","As tree 068_QT01; after 75(82) removed"
"068_Q1","068046","0","As tree 068_QT01; after 75(82) removed"
"068_Q1","068047","Q",NULL
"068_Q1","068047","X",NULL
"068_Q1","068049","0",NULL
"068_Q1","068050","0","As tree 068_QT01; after 75(82) removed"
"068_Q1","068056","0",NULL
"068_Q1","068058","A",NULL
"068_Q1","068059","0","As tree 068_QT01; after 75(82) removed"
"068_Q1","068060","Q",NULL
"068_Q1","068061","0","As tree 068_QT01; after 75(82) removed"
"068_Q1","068063","0",NULL
"068_Q1","068065","0",NULL
"068_Q1","068067","0","As tree 068_QT02Q; after 98(52) removed"
"068_Q1","068068","A",NULL
"068_Q1","068070","0","As tree 068_QT02Q; after 98(52) removed"
"068_Q1","068071","Q",NULL
"068_Q1","068072","0",NULL
"068_Q1","068074","0","As tree 068_QT02Q; after 98(52) removed"
"068_Q1","068075","0",NULL
"068_Q1","068076","Q",NULL
"068_Q1","068077","0",NULL
"068_Q1","068078","0","As tree 068_QT02Q; after 98(52) removed"
"068_Q1","068079","Q",NULL
"068_Q1","068080","0",NULL
"068_Q1","068081","Q",NULL
"068_Q1","068083","Q",NULL
"068_Q1","068085","0",NULL
"068_Q1","068086","B","As tree 068_QT06Q; last 2 (97-98 AD)removed"
"068_Q1","068087","Q",NULL
"068_Q1","068089","Q",NULL
"068_Q1","068090","0","As tree 068_QT04"
"068_Q1","068092","Q",NULL
"068_Q1","068093","0",NULL
"068_Q1","068094","0",NULL
"068_Q1","068095","Q",NULL
"068_Q1","068095","X",NULL
"068_Q1","068096","0",NULL
"068_Q1","068098","0","As tree 068_QT04"
"068_Q1","068099","0","As tree 068_QT06Q; last 2 (97-98 AD)removed"
"068_Q1","068100","Q",NULL
"068_Q2","068115","Q",NULL
"068_Q2","068116","Q",NULL
"068_Q2","068117","Q",NULL
"068_Q2","068118","Q",NULL
"068_Q2","068118","X",NULL
"068_Q2","068119","B",NULL
"068_Q2","068120","Q",NULL
"068_Q2","068120","X",NULL
"068_Q2","068121","B",NULL
"068_Q2","068122","A",NULL
"068_Q2","068124","B",NULL
"068_Q2","068125","0","As tree 068_QT07"
"068_Q2","068130","E",NULL
"068_Q2","068133","0","As tree 068_QT07"
"068_Q2","068135","C",NULL
"068_Q2","068136","0","As tree 068_QT08"
"068_Q2","068137","0","As tree 068_QT08"
"068_Q2","068138","0",NULL
"068_Q2","068139","C",NULL
"068_Q2","068142","A",NULL
"068_Q2","068144","C",NULL
"068_Q2","068146","0",NULL
"068_Q3","068147","Z",NULL
"068_Q3","068148","Q",NULL
"068_Q3","068152","0",NULL
"068_Q3","068153","0",NULL
"068_Q3","068154","Q",NULL
"068_Q3","068155","Q",NULL
"068_Q3","068156","0",NULL
"068_Q3","068157","0",NULL
"068_Q3","068158","Q",NULL
"068_Q3","068159","A",NULL
"068_Q3","068160","0",NULL
"068_Q3","068162","0",NULL
"185_Q1","185001","E","As tree 185_QT1"
"185_Q1","185002","Q",NULL
"185_Q1","185003","E",NULL
"185_Q1","185004","Q",NULL
"185_Q1","185005","E","As tree 185_QT1"
"185_Q1","185006","Q",NULL
"185_Q1","185006","X",NULL
"185_Q1","185007","F","As tree 185_QT1"
"185_Q1","185008","E","As tree 185_QT1"
"185_Q1","185009","Q",NULL
"185_Q1","185009","X",NULL
"185_Q1","185010","E","As tree 185_QT1"
"185_Q1","185013","E",NULL
"185_Q1","185014","E",NULL
"185_Q1","185015","E",NULL
"185_Q1","185018","E",NULL
"185_Q1","185019","E",NULL
"185_Q1","185020","E",NULL
"185_Q1","185021","F",NULL
"185_Q1","185022","F",NULL
"185_Q1","185023","F",NULL
"185_Q1","185024","E",NULL
"185_Q1","185026","F","As tree 185_QT2"
"185_Q1","185027","F","As tree 185_QT2"
"185_Q1","185028","Q",NULL
"185_Q1","185029","Q",NULL
"185_Q1","185030","E",NULL
"185_Q1","185031","E",NULL
"185_Q1","185033","Q",NULL
"185_Q1","185034","Q",NULL
"185_Q1","185035","F",NULL
"185_Q1","185039","E",NULL
"185_Q1","185060","0",NULL
"185_Q1","185063","Q","As tree 185_QT5"
"185_Q1","185067","0",NULL
"185_Q1","185074","0",NULL
"185_Q1","185092","0",NULL
"185_Q1","185096","0",NULL
"185_Q1","185099","0","As tree 185_QT5"
"185_Q1","185108","0",NULL
"185_Q1","185110","A",NULL
"185_Q1","185111","Q",NULL
"185_Q1","185115","Q",NULL
"185_Q1","185115","X",NULL
"185_Q1","185126","0",NULL
"185_Q1","185143","Q",NULL
"185_Q1","185150","0",NULL
"185_Q1","185321","Q",NULL
"185_Q1","185322","0",NULL
"185_Q1","185323","B",NULL
"185_Q1","185325","0",NULL
"185_Q1","185329","B",NULL
"185_Q1","185330","B",NULL
"185_Q1","185331","A",NULL
"185_Q1","185332","A",NULL
"185_Q1","185334","A",NULL
"185_Q1","185336","A",NULL
"185_Q1","185337","A",NULL
"185_Q1","185338","Q",NULL
"185_Q1","185339","0","As tree 185_QT4"
"185_Q1","185340","0","As tree 185_QT4"
"185_Q1","185342","D",NULL
"185_Q1","185343","0",NULL
"185_Q1","185345","B",NULL
"185_Q1","185346","0","As tree 185_QT3"
"185_Q1","185347","A",NULL
"185_Q1","185348","A","As tree 185_QT3"
"185_Q1","185349","Q",NULL
"185_Q1","185350","B",NULL
"185_Q1","185361","A","As tree 185_QT6"
"185_Q1","185362","A",NULL
"185_Q1","185363","A",NULL
"185_Q1","185366","A","As tree 185_QT6"
"185_Q1","185368","Q",NULL
"185_Q1","185369","A","As tree 185_QT6"
"185_Q1","185370","A",NULL
"185_Q1","185372","Q",NULL
"185_Q1","185372","X",NULL
"185_Q1","185373","Q",NULL
"185_Q1","185374","Q",NULL
"185_Q1","185374","X",NULL
"185_Q1","185375","A",NULL
"185_Q1","185377","A",NULL
"185_Q1","185378","Q",NULL
"185_Q1","185378","X",NULL
"185_Q1","185378","Y",NULL
"185_Q1","185379","A",NULL
"185_Q1","185380","A",NULL
"185_Q1","185382","A","As tree 185_QT6"
"185_Q1","185383","A","As tree 185_QT6"
"185_Q1","185384","A",NULL
"185_Q1","185387","A",NULL
"185_Q1","185389","A",NULL
"189_Q1","1890101","L",NULL
"189_Q1","1890102","L",NULL
"189_Q1","1890103","L",NULL
"189_Q1","1890201","L",NULL
"189_Q1","1890202","L",NULL
"189_Q1","1890203","L",NULL
"189_Q1","1890204","L",NULL
"189_Q1","1890205","L",NULL
"189_Q1","1890206","L",NULL
"189_Q1","1890207","L",NULL
"189_Q1","1890208","L",NULL
"189_Q2","1890301","L",NULL
"189_Q2","1890308","L",NULL
"195_Q1","195001","0",NULL
"195_Q1","195003","0",NULL
"195_Q1","195004","A",NULL
"195_Q1","195005","A",NULL
"195_Q1","195006","0",NULL
"195_Q1","195007","1",NULL
"195_Q1","195008","0",NULL
"195_Q1","195009","Q",NULL
"195_Q1","195010","Q",NULL
"195_Q1","195011","0",NULL
"195_Q1","195012","0",NULL
"195_Q1","195014","0",NULL
"195_Q1","195015","0",NULL
"195_Q1","195016","0",NULL
"195_Q1","195017","0",NULL
"195_Q1","195018","A",NULL
"195_Q1","195019","0",NULL
"195_Q1","195020","0",NULL
"195_Q1","195021","0",NULL
"195_Q1","195022","0",NULL
"195_Q1","195023","0",NULL
"195_Q1","195024","0",NULL
"195_Q1","195025","0",NULL
"195_Q1","195026","0",NULL
"195_Q1","195027","0",NULL
"195_Q1","195028","0",NULL
"195_Q1","195029","0",NULL
"195_Q1","195030","Q",NULL
"195_Q1","195031","Q",NULL
"195_Q1","195032","A",NULL
"195_Q1","195033","A",NULL
"195_Q1","195035","A",NULL
"195_Q1","195036","A",NULL
"195_Q1","195043","0",NULL
"195_Q1","195044","0",NULL
"195_Q1","195047","Q",NULL
"195_Q1","195048","0",NULL
"195_Q1","195049","0",NULL
"195_Q1","195050","0",NULL
"195_Q1","195052","0",NULL
"195_Q1","195053","0",NULL
"1AH_Q1","1AH0030","M","As tree 1AH_QT1"
"1AH_Q1","1AH0031","A","As tree 1AH_QT1"
"1AH_Q1","1AH0033","Q","As tree 1AH_QT2Q (before 250(259) removed)"
"1AH_Q1","1AH0034","A","As tree 1AH_QT2Q (before 250(259) removed)"
"1AH_Q1","1AH0035","A","As tree 1AH_QT2Q (before 250(259) removed)"
"1AH_Q2","1AH0013","A",NULL
"1AH_Q2","1AH0014","A","As tree 1AH_QT3"
"1AH_Q2","1AH0015","A","As tree 1AH_QT3"
"1DH_Q1","1DH0010","M",NULL
"1DH_Q1","1DH0011","M",NULL
"1DH_Q1","1DH0015","M",NULL
"1DH_Q1","1DH0019","A",NULL
"1DH_Q1","1DH0021","A",NULL
"1DH_Q1","1DH0022","M","As tree 1DH_QT1"
"1DH_Q1","1DH0023","M","As tree 1DH_QT1"
"1DH_Q1","1DH0025","A","As tree 1DH_QT2"
"1DH_Q1","1DH0026","M",NULL
"1DH_Q1","1DH0027","A","As tree 1DH_QT2"
"1DH_Q1","1DH0028","M","As tree 1DH_QT2"
"1DH_Q1","1DH0029","A","As tree 1DH_QT2"
"1DH_Q1","1DH0032","Q",NULL
"1DH_Q1","1DH0033","A",NULL
"1DH_Q1","1DH0034","Q",NULL
"1DH_Q1","1DH0036","M",NULL
"1DH_Q1","1DH0038","A",NULL
"1DH_Q1","1DH0039","A",NULL
"1GDGem","1GD0001","M",NULL
"1GDGem","1GD0002","A",NULL
"1GDGem","1GD0003","B",NULL
"1TN_Q1","1TN0064","A","As tree 1TN_QT1"
"1TN_Q1","1TN0065","A","As tree 1TN_QT1"
"1TN_Q1","1TN0066","A",NULL
"1TN_Q1","1TN0067","A",NULL
"1TN_Q1","1TN0068","A",NULL
"1TN_Q1","1TN0070","A","As tree 1TN_QT3"
"1TN_Q1","1TN0071","A","As tree 1TN_QT3"
"1TN_Q1","1TN0072","A",NULL
"1TN_Q1","1TN0073","A","As tree 1TN_QT3"
"1TN_Q1","1TN0077","A","As tree 1TN_QT3"
"1TN_Q1","1TN0078","A","As tree 1TN_QT4"
"1TN_Q1","1TN0079","A","As tree 1TN_QT4"
"1TN_Q1","1TN0081","A","As tree 1TN_QT4"
"1TN_Q1","1TN0088","A","As tree 1TN_QT5"
"1TN_Q1","1TN0089","A","As tree 1TN_QT6"
"1TN_Q1","1TN0090","A",NULL
"1TN_Q1","1TN0091","A","As tree 1TN_QT6"
"1TN_Q1","1TN0092","A","As tree 1TN_QT5"
"1TN_Q1","1TN0094","A",NULL
"1TN_Q1","1TN0095","M",NULL
"1TN_Q1","1TN0096","A",NULL
"1TN_Q1","1TN0097","A",NULL
"1TN_Q1","1TN0098","A",NULL
"1TN_Q1","1TN0100","A",NULL
"1TN_Q1","1TN0101","A",NULL
"1TN_Q1","1TN0102","A",NULL
"1TN_Q1","1TN0103","A",NULL
"1TN_Q1","1TN0106","A",NULL
"1TN_Q1","1TN0108","A",NULL
"1TN_Q1","1TN0116","M",NULL
"1TN_Q1","1TN0117","M",NULL
"1TN_Q1","1TN0119","A",NULL
"1TN_Q1","1TN0121","A","As tree 1TN_QT8"
"1TN_Q1","1TN0122","A","As tree 1TN_QT8"
"1TN_Q1","1TN0123","A",NULL
"1TN_Q1","1TN0124","A",NULL
"1TN_Q1","1TN0125","A","As tree 1TN_QT8"
"1TN_Q1","1TN0126","A",NULL
"1TN_Q1","1TN0127","A","As tree 1TN_QT8"
"1VL_Q1","1VL0027","Q",NULL
"1VL_Q1","1VL0027","X",NULL
"1VL_Q1","1VL0028","A",NULL
"1VL_Q1","1VL0029","M",NULL
"202_Q1","202_QT","1",NULL
"202_Q1","202011","0",NULL
"202_Q1","202017","0",NULL
"202_Q1","202018","0",NULL
"202_Q1","202019","0",NULL
"202_Q1","202020","Q",NULL
"202_Q1","202021","0",NULL
"202_Q1","202022","0",NULL
"202_Q1","202023","0",NULL
"202_Q1","202024","Q",NULL
"202_Q1","202025","Q",NULL
"202_Q1","202026","Q",NULL
"202_Q1","202028","0",NULL
"202_Q1","202029","0",NULL
"202_Q1","202031","Q",NULL
"202_Q1","202032","Q",NULL
"202_Q1","202034","0",NULL
"202_Q1","202036","0",NULL
"202_Q1","202037","Q",NULL
"202_Q1","202038","0",NULL
"202_Q1","202039","0",NULL
"202_Q1","202040","0",NULL
"202_Q1","202042","0",NULL
"202_Q1","202043","Q",NULL
"202_Q1","202043","X",NULL
"202_Q1","202045","Q",NULL
"202_Q1","202046","0",NULL
"202_Q1","202047","Q",NULL
"202_Q1","202048","0",NULL
"202_Q1","202051","Q",NULL
"202_Q1","202052","Q",NULL
"202_Q1","202052","X",NULL
"202_Q1","202054","Q",NULL
"202_Q1","202054","X",NULL
"202_Q1","202064","0","As tree 202-QT1"
"202_Q1","202067","0",NULL
"202_Q1","202068","0",NULL
"202_Q1","202070","0",NULL
"202_Q1","202072","0",NULL
"202_Q1","202073","A","As tree 202-QT1"
"202_Q1","202074","0",NULL
"202_Q1","202075","0",NULL
"202_Q1","202076","A",NULL
"202_Q1","202078","0",NULL
"202_Q1","202080","0",NULL
"202_Q1","202081","0",NULL
"202_Q1","202082","Q",NULL
"202_Q1","202086","Q",NULL
"202_Q1","202090","0",NULL
"202_Q1","202091","0",NULL
"202_Q1","202092","0",NULL
"202_Q1","202096","0",NULL
"202_Q1","202101","C",NULL
"202_Q1","202105","B",NULL
"202_Q1","202108","C",NULL
"202_Q1","202110","A",NULL
"202_Q1","202116","A",NULL
"202_Q1","202117","A",NULL
"202_Q1","202118","Q",NULL
"202_Q1","202120","0",NULL
"388_Q1","388001","L",NULL
"388_Q1","388002","L","As tree 388_QT2"
"388_Q1","388003","L","As tree 388_QT2"
"388_Q1","388004","L","As tree 388_QT1"
"388_Q1","388005","L","As tree 388_QT1"
"388_Q1","388006","L","As tree 388_QT1"
"388_Q1","388007","L",NULL
"388_Q1","388008","L",NULL
"388_Q1","388009","L",NULL
"388_Q1","388010","L",NULL
"388_Q1","388012","L",NULL
"388_Q1","388013","L",NULL
"388_Q1","388014","L","As tree 388_QT1"
"388_Q1","388015","L",NULL
"388_Q1","388016","L","As tree 388_QT2"
"388_Q1","388017","L","As tree 388_QT1"
"388_Q1","388018","L","As tree 388_QT2"
"388_Q1","388019","L",NULL
"388_Q1","388020","L","As tree 388_QT1"
"388_Q1","3880203","Q",NULL
"388_Q1","388021","L",NULL
"563_Q1","563001","Q",NULL
"563_Q1","563003a","L",NULL
"563_Q1","563004a","L",NULL
"563_Q1","563004b","L",NULL
"563_Q1","563005","L",NULL
"563_Q1","563006a","L",NULL
"563_Q1","563007","L",NULL
"563_Q1","563010a","L",NULL
"563_Q1","563011","L",NULL
"563_Q1","563013","L",NULL
"563_Q1","563014","L",NULL
"563_Q1","563015","L",NULL
"563_Q1","56302001","L",NULL
"563_Q1","56302002","L",NULL
"563_Q1","56302003","L",NULL
"563_Q1","56302004","L",NULL
"563_Q1","56302005","L",NULL
"563_Q1","56302008","B",NULL
"563_Q1","56302008","Q","(was A)"
"563_Q1","56303002","L","As tree 563_QT1"
"563_Q1","56303003","L","As tree 563_QT1"
"563_Q1","56304001","A",NULL
"563_Q1","56304003","A",NULL
"563_Q1","56304003","B",NULL
"563_Q1","56304004","L",NULL
"563_Q1","56304005","A",NULL
"563_Q1","56304005","B",NULL
"563_Q1","56304007","L",NULL
"563_Q1","56304008","A",NULL
"563_Q1","56304008","B",NULL
"563_Q1","56304009","Q",NULL
"585_Q1","5851601","Q",NULL
"585_Q1","5851603","L",NULL
"585_Q1","5851605","Q",NULL
"585_Q1","5851801","Q",NULL
"585_Q1","5851803","L",NULL
"585_Q1","5851804","L",NULL
"585_Q1","5851805","L",NULL
"585_Q1","5851806","L",NULL
"585_Q1","5851807","Q",NULL
"585_Q1","5851808","L",NULL
"585_Q1","5851809","L",NULL
"585_Q1","5851810","L",NULL
"585_Q1","5851814","Q",NULL
"585_Q2","5850204","L",NULL
"585_Q2","5850205","L",NULL
"585_Q2","5850206","L",NULL
"587_Q1","587001","L",NULL
"587_Q1","587002","L","As tree 587_QT1"
"587_Q1","5870033","L",NULL
"587_Q1","587004","L","As tree 587_QT1"
"587_Q1","587006","Q",NULL
"587_Q1","587008","Q",NULL
"587_Q1","587009","L",NULL
"587_Q1","587010","L",NULL
"587_Q1","587011","L",NULL
"587_Q1","587013","L",NULL
"587_Q1","587015","L",NULL
"587_Q1","587016","Q",NULL
"587_Q1","5870301","Q",NULL
"587_Q1","5870302","L",NULL
"587_Q1","5870303","L",NULL
"587_Q1","5870403","L","As tree 587_QT2"
"587_Q1","5870404","L","As tree 587_QT2"
"587_Q1","5870406","Q","As tree 587_QT2"
"587_Q1","5870501","L",NULL
"587_Q1","5870601","Q",NULL
"600_Q1","6001001","Q",NULL
"600_Q1","6001001","X",NULL
"600_Q1","6001004","Q",NULL
"600_Q1","6001004","X",NULL
"600_Q1","6001005","L",NULL
"600_Q1","600M1","L",NULL
"A246_Q1","A246_01","Q",NULL
"A246_Q1","A246_01","X",NULL
"A246_Q1","A246_02","Q",NULL
"A246_Q1","A246_03","H",NULL
"A246_Q1","A246_08","H",NULL
"A246_Q1","A246_10","H",NULL
"ABC_Q1","ABC0001","1",NULL
"ABC_Q1","ABC0002","1",NULL
"ABC_Q1","ABC0004","1",NULL
"ABC_Q1","ABC0006","1",NULL
"ABC_Q1","ABC0008","1",NULL
"ABC_Q1","ABC0010","1",NULL
"ABC_Q1","ABC0011","Q",NULL
"ABC_Q1","ABF0004","1",NULL
"ABC_Q1","ABF0005","Q",NULL
"ABC_Q1","ABF0006","1",NULL
"ABC_Q1","ABF0007","1",NULL
"ABC_Q1","ABF0008","1",NULL
"ABC_Q1","ABF0010","Q",NULL
"ABC_Q1","ABF0013","1",NULL
"ABC_Q1","ABF0014","1",NULL
"ABC_Q1","ABF0015","0",NULL
"ABC_Q1","ABF0021","0",NULL
"ABC_Q1","ABN0007","0",NULL
"AKE_Q1","AKE0001","1",NULL
"AKE_Q1","AKE0002","1","As tree AKE_QT1"
"AKE_Q1","AKE0003","1","As tree AKE_QT1"
"AKE_Q1","AKE0004","1",NULL
"ALC_F1","ALC0007","1",NULL
"ALC_F1","ALC0014","1",NULL
"ALC_F1","ALC0016","1",NULL
"ALC_F1","ALC0063","Q",NULL
"ALC_F1","ALC0071","1",NULL
"ALC_F1","ALC0072","1",NULL
"ALC_F1","ALC0079","Q",NULL
"ALC_F1","ALC0082","Q",NULL
"ALC_F1","ALC0092","1","Not as tree ALC_FT1, fits better as seperate measurement!"
"ALC_F1","ALC0095","0","Not as tree ALC_FT1, fits better as seperate measurement!"
"ALC_F1","ALC0096","0",NULL
"ALC_F1","ALC0105","Q",NULL
"ALC_F1","ALC0113","1",NULL
"ALC_F1","ALC0128","Q",NULL
"ALC_F2","ALC0009","Q",NULL
"ALC_F2","ALC0010","Q",NULL
"ALC_F2","ALC0060","Q",NULL
"ALC_F2","ALC0061","1",NULL
"ALC_F2","ALC0081","1",NULL
"ALC_F2","ALC0084","0",NULL
"ALC_F2","ALC0085","1",NULL
"ALC_F2","ALC0086","Q",NULL
"ALC_F2","ALC0086","X",NULL
"ALC_F2","ALC0087","1",NULL
"ALC_F2","ALC0088","2",NULL
"ALC_F2","ALC0090","1",NULL
"ALC_F2","ALC0115","Q",NULL
"ALC_F2","ALC0121","1",NULL
"ALC_F2","ALC0122","1",NULL
"ALC_F2","ALC0125","1",NULL
"ALC_Q1","ALB0002","1",NULL
"ALC_Q1","ALC0002","0",NULL
"ALC_Q1","ALC0024","1",NULL
"ALC_Q1","ALC0025","1","As tree ALC_QT1Q before -139(30) removed"
"ALC_Q1","ALC0026","Z",NULL
"ALC_Q1","ALC0028","1","As tree ALC_QT1Q before -139(30) removed"
"ALC_Q1","ALC0033","1",NULL
"ALC_Q1","ALC0035","1",NULL
"ALC_Q1","ALC0047","1",NULL
"ALC_Q1","ALC0048","Q",NULL
"ALC_Q1","ALC0049","1",NULL
"ALC_Q1","ALC0052","1",NULL
"ALC_Q1","ALC0075","1",NULL
"ALC_Q1","ALC0076","Z",NULL
"ALC_Q1","ALC0100","1","As tree ALC_QT1Q before -139(30) removed"
"ALC_Q1","ALC0101","1",NULL
"ALC_Q2","ALB0001","2","Radiaal 2 match beste met anderen"
"ALC_Q2","ALB0003","1",NULL
"ALC_Q2","ALB0004","1",NULL
"ALC_Q2","ALB0005","Q","1e ring removed"
"ALC_Q3","ALC0018","0",NULL
"ALC_Q3","ALC0019","1",NULL
"ALC_Q3","ALC0030","Q",NULL
"ALC_Q3","ALC0031","1",NULL
"ALC_Q3","ALC0032","Q",NULL
"ALC_Q3","ALC0037","1",NULL
"ALC_Q3","ALC0038","Q",NULL
"ALC_Q3","ALC0053","Q",NULL
"ALC_Q3","ALC0055","1",NULL
"ALC_U1","ALC0040","Q",NULL
"ALC_U1","ALC0041","0",NULL
"ALC_U1","ALC0042","Q",NULL
"ALC_U1","ALC0043","0",NULL
"ALC_U1","ALC0044","Q",NULL
"ALC_U1","ALC0062","0",NULL
"ALC_U1","ALC0064","0",NULL
"ALC_U1","ALC0068","Q",NULL
"ALC_U1","ALC0083","0",NULL
"ALC_U1","ALC0091","1",NULL
"ALC_U1","ALC0104","1",NULL
"ALC_U1","ALC0114","0",NULL
"ALC_U1","ALC0116","Q",NULL
"ALC_U1","ALC0117","1",NULL
"ALC_U1","ALC0118","0",NULL
"ALC_U1","ALC0119","1",NULL
"ALC_U1","ALC0124","1",NULL
"ALC_U1","ALC0129","0",NULL
"ATTO_Q1","ATTO101","T",NULL
"ATTO_Q1","ATTO102","T",NULL
"ATTO_Q1","ATTO103","T",NULL
"ATTO_Q1","ATTO104","T",NULL
"ATTO_Q1","ATTO105","T",NULL
"ATTO_Q1","ATTO106","T",NULL
"ATTO_Q1","ATTO107","T",NULL
"ATTO_Q1","ATTO108","T",NULL
"ATTO_Q1","ATTO109","T",NULL
"ATTO_Q1","ATTO110","T",NULL
"AZW_Q1","AZW0002","1",NULL
