site_chronology,species,length,first_year,last_year,author,Site_context,Site_type,site_location_utm_wkt
068_Q1,QUSP,233,-79,154,Visser,City,Civilian,SRID=23031;POINT(738394.097518193 5730185.41484116)
068_Q2,QUSP,228,-92,136,Visser,City,Civilian,SRID=23031;POINT(738394.097518193 5730185.41484116)
068_Q3,QUSP,89,17,105,Visser,City,Civilian,SRID=23031;POINT(738235.141275914 5729726.66199652)
185_Q1,QUSP,227,-237,-11,Visser,Castra,Military,SRID=23031;POINT(817452.644522918 5728112.42590427)
189_Q1,QUSP,216,-132,84,Visser,Settlement; villa,Civilian,SRID=23031;POINT(559027.595268778 5609592.18599545)
189_Q2,QUSP,195,-60,135,Visser,Settlement; villa,Civilian,SRID=23031;POINT(559027.595268778 5609592.18599545)
195_Q1,QUSP,298,-250,48,Visser,Bridge,Civilian,SRID=23031;POINT(827755.588806382 5588938.31092397)
1AH_Q1,QUSP,199,129,327,Visser,Settlement,Civilian,SRID=23031;POINT(715179.46154722 5757859.99304073)
1AH_Q2,QUSP,75,318,392,Visser,Settlement,Civilian,SRID=23031;POINT(709286.647214726 5753231.30394236)
1DH_Q1,QUSP,233,-38,195,Visser,City,Civilian,SRID=23031;POINT(592609.777504346 5768571.73367756)
1GDGem,QUSP,234,-110,124,Visser,Road,Military,SRID=23031;POINT(614868.794734911 5775101.79708712)
1TN_Q1,QUSP,353,-134,219,Visser,Settlement,Civilian,SRID=23031;POINT(690067.679029592 5653880.07596723)
1VL_Q1,QUSP,79,81,159,Visser,Settlement,Civilian,SRID=23031;POINT(709095.245507217 5690431.30286486)
202_Q1,QUSP,275,104,378,Visser,Bridge,Civilian,SRID=23031;POINT(778110.165219165 5651071.07373026)
388_Q1,QUSP,196,18,213,Visser,Settlement,Civilian,SRID=23031;POINT(607144.070419318 5677099.79646016)
563_Q1,QUSP,404,-157,247,Visser,Settlement; villa,Civilian,SRID=23031;POINT(691115.08819421 5510708.9739171)
585_Q1,QUSP,209,-20,189,Visser,Settlement,Civilian,SRID=23031;POINT(612388.341382727 5689049.13711893)
585_Q2,QUSP,67,5,71,Visser,Settlement,Civilian,SRID=23031;POINT(600555.842600566 5680690.32135084)
587_Q1,QUSP,345,-193,152,Visser,Vicus,Civilian,SRID=23031;POINT(702892.308607391 5485164.93096921)
600_Q1,QUSP,104,-21,83,Visser,Settlement; villa,Civilian,SRID=23031;POINT(520346.094968509 5618939.67261149)
A246_Q1,QUSP,246,-109,137,Visser,Settlement,Civilian,SRID=23031;POINT(599014.718144511 5681820.60551416)
ABC_Q1,QUSP,333,-302,31,Visser,Sub fossil wood,Natural,SRID=23031;POINT(633016.188261521 5793850.96031428)
AKE_Q1,QUSP,267,275,541,Visser,Settlement,Civilian,SRID=23031;POINT(635678.979476834 5705049.24441497)
ALC_F1,FREX,122,-81,41,Visser,Castellum,Military,SRID=23031;POINT(613876.470784249 5776954.86936661)
ALC_F2,FREX,239,-173,66,Visser,Castellum,Military,SRID=23031;POINT(613876.470784249 5776954.86936661)
ALC_Q1,QUSP,295,-201,94,Visser,Castellum,Military,SRID=23031;POINT(613876.470784249 5776954.86936661)
ALC_Q2,QUSP,142,-19,123,Visser,Castellum,Military,SRID=23031;POINT(613876.470784249 5776954.86936661)
ALC_Q3,QUSP,72,88,159,Visser,Castellum,Military,SRID=23031;POINT(613876.470784249 5776954.86936661)
ALC_U1,ULSP,194,-135,59,Visser,Castellum,Military,SRID=23031;POINT(613876.470784249 5776954.86936661)
ATTO_Q1,QUSP,129,30,158,Visser,Settlement; villa,Civilian,SRID=23031;POINT(726683.389917843 5420198.09489977)
AZW_Q1,QUSP,76,196,271,Visser,Settlement,Civilian,SRID=23031;POINT(754099.346025744 5800024.83377401)
