"node","com_name","networktype"
"068_Q1","CPM_K3_01",1
"195_Q1","CPM_K3_01",1
"1TN_Q1","CPM_K3_01",1
"C4A_Q1","CPM_K3_01",1
"FLEV1_Q1","CPM_K3_01",1
"HOL_KBMB","CPM_K3_01",1
"HOL_LKBB","CPM_K3_01",1
"HOL_LKSB","CPM_K3_01",1
"HOL_MBRU","CPM_K3_01",1
"HOL_MBUF","CPM_K3_01",1
"HOL_MRBR","CPM_K3_01",1
"HOL_PALZ","CPM_K3_01",1
"HOL_TRPB","CPM_K3_01",1
"HOL_TRRB","CPM_K3_01",1
"HOL_TRRS","CPM_K3_01",1
"HORB1_Q1","CPM_K3_01",1
"HORB2_Q1","CPM_K3_01",1
"HORB3_Q1","CPM_K3_01",1
"MAP_Q1","CPM_K3_01",1
"SARR6_Q1","CPM_K3_01",1
"SAUL_Q1","CPM_K3_01",1
"SILL_Q2","CPM_K3_01",1
"TROY_Q1","CPM_K3_01",1
"VALK_Q1","CPM_K3_01",1
"VALK_Q2","CPM_K3_01",1
"VDM2W_Q1","CPM_K3_01",1
"VDMLR_Q1","CPM_K3_01",1
"VDMLR_Q2","CPM_K3_01",1
"VDMWL_Q1","CPM_K3_01",1
"VDMWL_Q3","CPM_K3_01",1
"VEN_Q1","CPM_K3_01",1
"VFH_Q2","CPM_K3_01",1
"VNW_Q1","CPM_K3_01",1
"VRW_Q1","CPM_K3_01",1
"HOL_TITE","CPM_K3_02",1
"ILLA_Q1","CPM_K3_02",1
"TROY_Q1","CPM_K3_02",1
"NEW_Q1","CPM_K3_03",1
"POM4_Q1","CPM_K3_03",1
"SWP_Q1","CPM_K3_03",1
"ALC_Q1","CPM_K3_04",1
"C5A_Q1","CPM_K3_04",1
"SPR_Q1","CPM_K3_04",1
"VDMWL_Q2","CPM_K3_04",1
"VEL_Q2","CPM_K3_04",1
"388_Q1","CPM_K3_05",1
"600_Q1","CPM_K3_05",1
"MEK_Q1","CPM_K3_05",1
"NOVY_Q2","CPM_K3_05",1
"202_Q1","CPM_K3_06",1
"HOL_KORB","CPM_K3_06",1
"HOL_MB253","CPM_K3_06",1
"HOL_TRMB32","CPM_K3_06",1
"METZ_Q3","CPM_K3_06",1
"DEU_Q1","CPM_K3_07",1
"EMP_Q1","CPM_K3_07",1
"OSND_Q1","CPM_K3_07",1
"068_Q1","CPM_K3_08",1
"068_Q2","CPM_K3_08",1
"BECRAA","CPM_K3_08",1
"ELT_Q1","CPM_K3_08",1
"068_Q1","CPM_K4_01",1
"195_Q1","CPM_K4_01",1
"1TN_Q1","CPM_K4_01",1
"C4A_Q1","CPM_K4_01",1
"HOL_KBMB","CPM_K4_01",1
"HOL_MBRU","CPM_K4_01",1
"HOL_MBUF","CPM_K4_01",1
"HOL_MRBR","CPM_K4_01",1
"HOL_TRRB","CPM_K4_01",1
"HOL_TRRS","CPM_K4_01",1
"VALK_Q2","CPM_K4_01",1
"VDM2W_Q1","CPM_K4_01",1
"VDMLR_Q1","CPM_K4_01",1
"VFH_Q2","CPM_K4_01",1
"VNW_Q1","CPM_K4_01",1
"VALK_Q1","CPM_K4_02",1
"VDM2W_Q1","CPM_K4_02",1
"VDMLR_Q2","CPM_K4_02",1
"VDMWL_Q3","CPM_K4_02",1
"VNW_Q1","CPM_K4_02",1
"VRW_Q1","CPM_K4_02",1
"HOL_TRRB","CPM_K4_03",1
"HORB1_Q1","CPM_K4_03",1
"HORB2_Q1","CPM_K4_03",1
"HORB3_Q1","CPM_K4_03",1
"C4A_Q1","CPM_K4_04",1
"FLEV1_Q1","CPM_K4_04",1
"HOL_MBUF","CPM_K4_04",1
"SILL_Q2","CPM_K4_04",1
"1TN_Q1","CPM_K5_01",1
"HOL_MRBR","CPM_K5_01",1
"HOL_TRRB","CPM_K5_01",1
"VALK_Q2","CPM_K5_01",1
"VNW_Q1","CPM_K5_01",1
"195_Q1","CPM_K5_02",1
"HOL_MRBR","CPM_K5_02",1
"HOL_TRRB","CPM_K5_02",1
"VALK_Q2","CPM_K5_02",1
"VFH_Q2","CPM_K5_02",1
"068_Q1","GN_ 1",1
"068_Q2","GN_ 1",1
"1DH_Q1","GN_ 1",1
"BECRAA","GN_ 1",1
"BECRKO","GN_ 1",1
"ELT_Q1","GN_ 1",1
"LANG_Q1","GN_ 1",1
"068_Q3","GN_ 2",1
"1GDGem","GN_ 2",1
"HOK_Q1","GN_ 2",1
"POM3_Q1","GN_ 2",1
"VALK_Q1","GN_ 2",1
"VDM2W_Q1","GN_ 2",1
"VDMLR_Q1","GN_ 2",1
"VDMLR_Q2","GN_ 2",1
"VDMWL_Q1","GN_ 2",1
"VDMWL_Q3","GN_ 2",1
"VNW_Q1","GN_ 2",1
"VRW_Q1","GN_ 2",1
"195_Q1","GN_ 3",1
"1TN_Q1","GN_ 3",1
"C4A_Q1","GN_ 3",1
"DMN1_Q3","GN_ 3",1
